HouseSize,NumBedrooms,NumBathrooms,GarageSpaces,Age,LocationScore,Price
3145,2,2,1,5,5.8,551667
3286,3,3,1,13,9.9,459062
3451,2,2,1,11,9.1,185993
2035,5,3,1,1,7.5,559333
2561,2,1,1,14,9.8,520934
2121,3,1,1,20,6.6,194783
2375,4,2,1,18,9.4,366822
3349,5,3,1,25,6.9,183046
3822,4,3,2,1,8.0,615294
3649,5,1,2,22,5.4,364290
3541,4,2,2,1,6.2,315589
3598,3,3,2,20,6.4,188802
1051,3,1,1,7,9.4,153447
2040,2,2,1,22,9.2,272822
1771,2,3,2,8,9.7,295908
2882,4,1,2,24,8.0,644630
1430,3,3,1,15,9.2,386566
2437,2,2,1,27,8.7,265779
1770,4,1,1,17,8.4,339623
1645,3,1,1,21,5.6,448265
2401,3,1,2,19,8.4,493586
3831,4,2,2,17,5.3,193934
3894,5,1,2,27,7.6,425394
2443,2,1,1,9,5.1,414811
3228,4,2,2,29,5.8,186209
2383,5,1,1,23,8.4,160044
3311,5,2,1,8,6.2,275843
3739,5,3,1,3,5.4,515362
1761,2,2,2,23,6.8,403133
1947,2,2,1,16,9.1,581478
1695,3,1,2,8,9.7,595316
1625,5,3,1,2,6.1,300994
1395,3,2,2,29,6.5,328335
3499,5,2,2,27,6.8,289556
2741,3,2,1,3,9.6,185985
3555,3,1,1,9,8.5,446500
1504,4,3,1,26,5.4,585330
2860,5,3,2,16,9.8,639930
3419,3,1,2,28,6.4,486594
2209,3,2,1,20,7.2,268587
3397,2,3,1,5,9.9,692452
3662,3,1,2,19,7.1,578023
1907,3,2,2,7,8.3,359709
1003,4,3,1,4,8.7,187711
1165,5,2,2,16,9.4,355904
2415,3,1,2,17,7.3,673655
2821,3,1,2,11,5.5,572529
2102,4,2,1,25,6.8,622084
1523,5,1,2,8,7.9,635721
3832,3,2,2,23,8.7,683740
3683,3,1,2,17,8.3,351343
1103,4,1,2,14,7.9,621978
2727,4,1,2,17,6.6,258159
1699,5,2,1,5,6.7,281891
3177,5,3,2,23,8.9,515734
2938,3,3,2,5,8.0,176980
2308,3,3,2,6,7.9,332433
1448,4,1,1,8,8.0,304417
1853,5,2,2,24,8.8,175635
2609,4,1,2,21,9.8,318378
3952,5,2,2,29,6.5,427563
3524,5,1,1,26,9.9,501775
3421,5,3,1,3,7.1,271984
2971,5,3,1,5,9.9,437542
3897,4,3,2,5,5.8,347209
1439,5,3,1,27,9.4,254295
1131,2,2,2,14,6.5,656157
2130,5,1,1,27,8.6,587781
3520,3,3,2,13,9.1,620709
1213,4,1,1,2,5.8,349050
2614,2,1,1,23,5.7,696213
3927,3,1,1,23,6.0,440949
1833,3,3,2,27,8.6,345062
1844,4,3,2,15,9.9,390899
2291,2,2,1,9,7.1,665055
2305,4,2,1,6,5.5,465482
2383,2,2,1,5,7.5,537918
2803,5,3,2,13,5.6,592746
1858,2,3,1,19,6.0,274062
1749,4,1,1,15,6.9,275950
2442,3,3,2,2,6.5,316509
2921,3,3,1,3,9.1,576483
1656,3,3,2,16,9.5,679541
3576,2,1,2,26,9.4,491929
3593,3,2,1,3,9.6,432202
2510,2,3,1,27,6.0,534559
1808,3,3,2,22,6.7,261389
3376,4,3,2,29,8.5,406077
3253,4,3,1,9,6.3,427597
2130,5,3,2,18,6.3,439435
1595,2,2,2,27,6.3,430555
1754,2,3,2,25,8.1,649238
2440,3,2,1,5,7.3,236336
1919,3,3,1,12,9.1,576794
1324,5,2,1,29,8.7,484903
2439,2,1,2,12,6.4,566461
1662,3,3,2,1,6.8,590787
1079,2,2,1,24,8.4,157096
1083,3,1,2,20,6.7,483321
3831,3,2,1,1,8.3,473583
3867,2,1,1,22,9.8,192156
3733,4,1,2,29,7.4,222462
2034,4,2,1,2,8.7,537172
2524,5,1,2,23,7.6,296177
2641,5,2,1,12,8.4,611929
1848,3,2,2,19,9.0,278015
3069,2,1,2,1,8.9,311818
2731,3,2,1,7,5.7,166994
2360,3,2,2,19,5.0,162003
2344,4,2,2,19,8.3,666988
2153,5,3,1,27,8.6,251969
2842,4,2,1,14,6.2,642102
3912,5,3,2,20,9.8,310947
1363,3,1,1,4,8.8,629632
2019,4,3,2,2,7.6,297848
1466,3,3,1,8,5.5,304018
3386,5,3,1,24,8.0,259033
1697,4,3,1,13,5.6,277157
1911,3,3,2,8,8.4,543332
2307,4,1,1,23,7.1,184326
3264,2,3,1,29,8.1,291733
1313,3,2,2,23,10.0,463535
3874,3,1,2,17,6.6,389062
3264,4,3,1,9,8.7,293053
2996,5,1,2,27,8.1,275580
3317,3,1,1,6,9.3,584415
